,Legislator name,Connections,Legislator name,Legislative Effectiveness Score,party
400,André Carson,86,Andre Carson,0.1591608226299286,D
401,Terri Sewell,62,Terri Sewell,1.9721357822418213,D
402,Sean Maloney,132,Sean Maloney,1.9907691478729248,D
403,Raja Krishnamoorthi,61,Raja Krishnamoorthi,0.6397902965545654,D
404,Devin Nunes,71,Devin Nunes,0.04970067739486694,R
405,Brad Wenstrup,62,Brad Wenstrup,0.42801910638809204,R
406,Brad Schneider,64,Bradley Schneider,1.4560552835464478,D
407,Abby Finkenauer,88,Abby Finkenauer,1.4020259380340576,D
408,Dwight Evans,64,Dwight Evans,0.14114992320537567,D
409,Antonio Delgado,134,Antonio Delgado,1.755562424659729,D
410,Sharice Davids,88,Sharice Davids,0.6572354435920715,D
411,Judy Chu,64,Judy Chu,1.7312668561935425,D
412,Troy Balderson,125,Troy Balderson,0.06958094984292984,R
413,Pete Stauber,88,Pete Stauber,0.7903514504432678,R
414,Ross Spano,88,Ross Spano,0.09343727678060532,R
415,John Joyce,53,John Joyce,0.3604261577129364,R
416,Jim Hagedorn,69,Jim Hagedorn,0.3385578691959381,R
417,Stacey Plaskett,151,Stacey Plaskett,0.3708006739616394,D
418,Harley Rouda,105,Harley Rouda,1.3174835443496704,D
419,Jimmy Gomez,81,Jimmy Gomez,0.2504095733165741,D
420,Mark Meadows,105,Mark Meadows,1.0833483934402466,R
421,Carol Miller,105,Carol Miller,0.3584381341934204,R
422,Ralph Norman,108,Ralph Norman,0.3664720952510834,R
423,Chip Roy,98,Chip Roy,0.2842060327529907,R
424,Thomas Massie,105,Thomas Massie,0.09940135478973389,R
425,Michael Cloud,77,Michael Cloud,0.3385578691959381,R
426,Bob Gibbs,105,Bob Gibbs,0.15904217958450317,R
427,Mark Green,70,Mark Green,0.4578394889831543,R
428,Clay Higgins,70,Clay Higgins,1.3229215145111084,R
429,Collin Peterson,73,Collin Peterson,0.5527387261390686,D
430,Jimmy Panetta,118,Jimmy Panetta,1.1255313158035278,D
431,Angie Craig,111,Angie Craig,1.5162893533706665,D
432,Anthony Brindisi,73,Anthony Brindisi,2.034342050552368,D
433,Roger Marshall,83,Roger Marshall,0.6155687570571899,R
